Tool_Type,Brand,Tool_Age_Days,Days_Since_Last_Cal,Total_Checkouts,Total_Usage_Hours,Avg_Duration_Hours,Unique_Users,Past_Failures,Env_Stress_Index,Criticality_Score,Maintenance_Cost,Label_Recommended_Days_Until_Cal
Multimeter,Facom,1205,211,68,297.4,4.4,41,1,9,2,270.5,-6
Pneumatic Drill,Facom,1459,19,124,779.5,6.3,94,0,86,3,145.9,87
Pneumatic Drill,Makita,761,154,399,1317.0,3.3,208,3,119,3,526.1,17
Pneumatic Drill,Bosch,1687,66,335,2084.9,6.2,92,2,54,3,468.7,71
Hydraulic Pump,Snap-on,1638,335,35,315.5,9.0,20,1,99,2,313.8,-5
Hydraulic Pump,Makita,182,84,31,367.9,11.9,23,0,32,2,18.2,99
Hydraulic Pump,Bosch,1532,134,126,1152.9,9.2,87,3,3,2,603.2,14
Multimeter,Snap-on,1319,216,42,372.3,8.9,16,2,32,2,431.9,18
Pneumatic Drill,Snap-on,1751,340,468,1861.1,4.0,374,3,50,3,625.1,15
Digital Torque Wrench,Fluke,1445,313,114,126.6,1.1,28,1,17,5,294.5,3
Digital Torque Wrench,Facom,1011,276,74,291.6,3.9,53,1,98,5,251.1,3
Pneumatic Drill,Snap-on,482,171,182,1296.4,7.1,78,0,43,3,48.2,12
Multimeter,Snap-on,957,63,148,211.0,1.4,115,1,85,2,245.7,86
Pneumatic Drill,Makita,794,343,175,891.3,5.1,53,2,90,3,379.4,6
Multimeter,Makita,279,233,10,71.8,7.2,4,2,11,2,327.9,16
Multimeter,Snap-on,612,349,130,1535.6,11.8,28,3,49,2,511.2,16
Pneumatic Drill,Snap-on,473,311,495,1263.7,2.6,210,3,83,3,497.3,11
Multimeter,Bosch,316,231,12,108.0,9.0,3,0,39,2,31.6,-5
Borescope,Facom,833,115,58,236.0,4.1,13,0,6,2,83.3,54
Multimeter,Makita,1340,262,136,211.9,1.6,71,2,60,2,434.0,0
Multimeter,Fluke,323,339,29,79.9,2.8,18,0,14,2,32.3,13
Digital Torque Wrench,Fluke,1061,274,33,128.9,3.9,22,0,74,5,106.1,20
Digital Torque Wrench,Facom,797,99,111,224.8,2.0,71,0,6,5,79.7,66
Digital Torque Wrench,Facom,246,294,87,65.0,0.7,31,0,79,5,24.6,16
Borescope,Fluke,357,165,147,936.3,6.4,116,1,73,2,185.7,-6
Pneumatic Drill,Bosch,759,190,328,1989.1,6.1,248,0,42,3,75.9,-3
Digital Torque Wrench,Snap-on,44,137,186,275.7,1.5,113,0,24,5,4.4,35
Borescope,Bosch,1787,237,83,580.3,7.0,28,1,98,2,328.7,5
Borescope,Facom,59,333,69,201.7,2.9,30,0,67,2,5.9,1
Digital Torque Wrench,Facom,169,187,145,436.7,3.0,80,0,11,5,16.9,3
Pneumatic Drill,Makita,1436,148,260,1739.8,6.7,173,0,34,3,143.6,-1
Pneumatic Drill,Fluke,1065,223,491,2836.1,5.8,368,0,49,3,106.5,-3
Borescope,Makita,968,22,104,707.1,6.8,69,1,22,2,246.8,127
Hydraulic Pump,Facom,420,206,67,458.7,6.8,35,0,74,2,42.0,8
Pneumatic Drill,Bosch,606,202,403,2112.3,5.2,250,1,113,3,210.6,0
Pneumatic Drill,Snap-on,1724,77,333,1477.6,4.4,239,0,24,3,172.4,66
Digital Torque Wrench,Bosch,75,235,152,525.1,3.5,45,0,80,5,7.5,16
Multimeter,Snap-on,891,68,33,106.4,3.2,18,1,32,2,239.1,121
Borescope,Snap-on,1154,48,13,19.4,1.5,9,0,14,2,115.4,110
Multimeter,Fluke,516,62,114,311.7,2.7,70,0,14,2,51.6,124
Digital Torque Wrench,Makita,39,5,27,100.5,3.7,9,0,17,5,3.9,176
Pneumatic Drill,Bosch,819,234,473,2084.7,4.4,350,0,55,3,81.9,-7
Multimeter,Snap-on,1713,315,120,1415.9,11.8,78,2,2,2,471.3,21
Borescope,Makita,252,318,144,1126.0,7.8,106,0,0,2,25.2,5
Borescope,Snap-on,1497,8,94,529.6,5.6,26,3,79,2,599.7,95
Hydraulic Pump,Facom,879,37,86,404.7,4.7,63,0,91,2,87.9,133
Pneumatic Drill,Bosch,392,166,494,2232.0,4.5,151,2,119,3,339.2,5
Borescope,Snap-on,1048,99,71,470.9,6.6,26,2,28,2,404.8,56
Digital Torque Wrench,Fluke,704,206,167,86.4,0.5,72,1,25,5,220.4,4
Hydraulic Pump,Makita,149,171,102,994.4,9.7,38,1,78,2,164.9,12
Multimeter,Bosch,471,343,112,163.5,1.5,63,1,97,2,197.1,22
Borescope,Facom,1721,83,53,54.0,1.0,26,1,94,2,322.1,62
Multimeter,Facom,809,274,25,210.0,8.4,11,0,1,2,80.9,16
Hydraulic Pump,Bosch,855,75,54,444.3,8.2,23,0,11,2,85.5,101
Borescope,Facom,78,125,94,1067.8,11.4,49,0,56,2,7.8,12
Pneumatic Drill,Facom,667,57,101,561.5,5.6,29,1,66,3,216.7,86
Pneumatic Drill,Snap-on,1231,197,407,2378.7,5.8,88,2,52,3,423.1,-7
Pneumatic Drill,Facom,266,256,462,3457.8,7.5,244,1,73,3,176.6,-2
Pneumatic Drill,Snap-on,1655,177,138,820.8,5.9,52,3,26,3,615.5,-8
Pneumatic Drill,Makita,645,134,244,1683.5,6.9,49,0,98,3,64.5,7
Digital Torque Wrench,Makita,718,182,180,696.7,3.9,52,2,44,5,371.8,16
Digital Torque Wrench,Fluke,1281,362,67,56.3,0.8,44,2,96,5,428.1,-8
Hydraulic Pump,Fluke,263,71,74,279.6,3.8,39,0,89,2,26.3,97
Borescope,Snap-on,107,9,70,91.5,1.3,17,0,35,2,10.7,173
Borescope,Makita,202,126,93,411.8,4.4,67,1,27,2,170.2,64
Multimeter,Facom,614,161,135,648.2,4.8,73,2,32,2,361.4,2
Multimeter,Snap-on,585,193,133,1451.9,10.9,49,1,63,2,208.5,15
Digital Torque Wrench,Makita,734,335,109,229.7,2.1,74,1,41,5,223.4,10
Multimeter,Fluke,1044,11,112,1093.2,9.8,40,0,47,2,104.4,118
Borescope,Snap-on,1793,120,14,58.7,4.2,5,2,85,2,479.3,9
Hydraulic Pump,Makita,1542,103,73,119.4,1.6,38,1,83,2,304.2,44
Borescope,Bosch,1020,360,116,214.9,1.9,33,0,43,2,102.0,-7
Borescope,Bosch,1527,72,67,450.4,6.7,50,0,77,2,152.7,92
Pneumatic Drill,Fluke,124,95,123,864.8,7.0,49,1,87,3,162.4,28
Digital Torque Wrench,Makita,751,343,119,360.8,3.0,49,0,64,5,75.1,-1
Digital Torque Wrench,Snap-on,1783,307,117,331.1,2.8,59,1,60,5,328.3,-5
Pneumatic Drill,Makita,204,36,145,853.1,5.9,51,1,112,3,170.4,107
Multimeter,Facom,1454,46,137,705.3,5.1,43,0,22,2,145.4,73
Hydraulic Pump,Bosch,366,277,20,209.2,10.5,6,1,76,2,186.6,4
Hydraulic Pump,Snap-on,533,325,10,26.4,2.6,2,0,5,2,53.3,3
Multimeter,Fluke,887,158,104,1189.8,11.4,51,2,12,2,388.7,9
Multimeter,Facom,857,77,50,59.6,1.2,25,0,67,2,85.7,96
Pneumatic Drill,Facom,184,41,323,1118.0,3.5,195,3,59,3,468.4,77
Borescope,Makita,764,146,138,1626.9,11.8,33,1,48,2,226.4,19
Digital Torque Wrench,Bosch,1419,245,126,423.0,3.4,42,2,16,5,441.9,18
Hydraulic Pump,Facom,1090,178,10,35.6,3.6,5,1,79,2,259.0,21
Pneumatic Drill,Bosch,142,32,321,1753.4,5.5,110,1,61,3,164.2,124
Digital Torque Wrench,Makita,1790,280,76,219.6,2.9,20,0,26,5,179.0,10
Digital Torque Wrench,Fluke,1597,92,162,381.3,2.4,121,2,46,5,459.7,82
Digital Torque Wrench,Fluke,1564,145,68,159.4,2.3,27,1,14,5,306.4,21
Hydraulic Pump,Bosch,1232,253,33,176.2,5.3,23,1,31,2,273.2,-2
Pneumatic Drill,Fluke,172,172,292,1303.8,4.5,165,0,70,3,17.2,14
Hydraulic Pump,Fluke,1172,357,126,298.6,2.4,31,1,46,2,267.2,5
Borescope,Makita,1402,81,79,85.2,1.1,38,2,5,2,440.2,86
Borescope,Facom,998,183,63,481.6,7.6,16,0,65,2,99.8,-2
Borescope,Bosch,344,32,19,210.8,11.1,9,0,69,2,34.4,159
Multimeter,Bosch,546,120,27,164.1,6.1,12,1,99,2,204.6,33
Digital Torque Wrench,Bosch,1548,141,164,614.8,3.7,130,2,13,5,454.8,-3
Multimeter,Facom,1183,3,98,145.7,1.5,35,1,38,2,268.3,144
Borescope,Facom,904,151,76,482.2,6.3,30,0,20,2,90.4,34
Multimeter,Facom,1463,325,35,297.4,8.5,14,1,99,2,296.3,-4
Pneumatic Drill,Fluke,1691,74,354,1727.6,4.9,259,3,91,3,619.1,-8
Pneumatic Drill,Snap-on,1098,132,314,1513.3,4.8,113,3,51,3,559.8,18
Borescope,Facom,341,249,27,59.5,2.2,13,1,64,2,184.1,15
Pneumatic Drill,Fluke,856,133,310,1965.6,6.3,155,0,77,3,85.6,20
Hydraulic Pump,Facom,582,23,47,504.1,10.7,32,0,66,2,58.2,113
Multimeter,Snap-on,634,239,117,1389.4,11.9,24,0,40,2,63.4,5
Digital Torque Wrench,Snap-on,841,171,58,37.0,0.6,43,1,76,5,234.1,14
Hydraulic Pump,Facom,90,187,96,986.7,10.3,33,0,51,2,9.0,16
Multimeter,Facom,1047,58,133,1316.4,9.9,82,1,44,2,254.7,73
Multimeter,Fluke,1622,48,77,408.5,5.3,40,0,4,2,162.2,123
Pneumatic Drill,Bosch,175,290,355,2718.3,7.7,164,1,92,3,167.5,10
Hydraulic Pump,Snap-on,1366,206,40,182.2,4.6,16,0,91,2,136.6,15
Borescope,Fluke,93,55,40,407.5,10.2,13,0,35,2,9.3,135
Multimeter,Facom,654,25,24,183.3,7.6,4,0,9,2,65.4,170
Hydraulic Pump,Bosch,131,238,142,784.7,5.5,41,1,55,2,163.1,-1
Pneumatic Drill,Fluke,1571,231,97,460.5,4.7,73,1,105,3,307.1,1
Borescope,Facom,321,135,101,874.6,8.7,64,0,41,2,32.1,21
Borescope,Fluke,1064,294,67,802.6,12.0,30,1,1,2,256.4,-3
Borescope,Snap-on,391,307,60,407.1,6.8,21,1,59,2,189.1,-8
Hydraulic Pump,Snap-on,1009,219,25,178.8,7.2,8,1,94,2,250.9,13
Multimeter,Bosch,988,33,32,147.5,4.6,13,1,88,2,248.8,137
Digital Torque Wrench,Snap-on,1019,32,27,59.9,2.2,10,1,58,5,251.9,142
Digital Torque Wrench,Facom,1307,140,30,108.2,3.6,22,1,28,5,280.7,28
Pneumatic Drill,Facom,1391,1,453,2455.8,5.4,180,2,120,3,439.1,124
Hydraulic Pump,Makita,1669,274,144,1688.2,11.7,66,1,66,2,316.9,-7
Hydraulic Pump,Facom,1083,355,30,292.9,9.8,11,1,79,2,258.3,16
Hydraulic Pump,Facom,802,108,104,772.3,7.4,68,0,31,2,80.2,34
Multimeter,Facom,570,144,115,176.1,1.5,83,1,82,2,207.0,7
Multimeter,Facom,255,91,115,349.2,3.0,59,0,42,2,25.5,78
Pneumatic Drill,Snap-on,1646,109,246,1963.2,8.0,192,1,35,3,314.6,12
Borescope,Fluke,231,331,117,898.5,7.7,54,0,77,2,23.1,-1
Digital Torque Wrench,Bosch,736,1,52,179.3,3.4,20,0,70,5,73.6,191
Digital Torque Wrench,Fluke,493,11,176,639.0,3.6,101,1,65,5,199.3,141
Digital Torque Wrench,Fluke,1700,154,188,465.1,2.5,141,0,96,5,170.0,19
Hydraulic Pump,Bosch,215,297,148,1401.9,9.5,39,0,25,2,21.5,9
Digital Torque Wrench,Makita,467,222,178,656.7,3.7,136,0,11,5,46.7,-6
Pneumatic Drill,Makita,934,291,121,478.4,4.0,87,1,88,3,243.4,0
Borescope,Fluke,763,184,109,545.8,5.0,60,0,14,2,76.3,-2
Hydraulic Pump,Facom,1190,65,82,601.4,7.3,23,1,91,2,269.0,53
Multimeter,Facom,469,15,37,177.0,4.8,20,0,37,2,46.9,150
Digital Torque Wrench,Facom,1302,314,116,142.6,1.2,59,1,43,5,280.2,19
Pneumatic Drill,Makita,449,19,382,1079.2,2.8,224,0,67,3,44.9,119
Hydraulic Pump,Makita,328,266,136,1265.5,9.3,102,0,97,2,32.8,0
Hydraulic Pump,Facom,1160,67,118,608.0,5.2,35,1,7,2,266.0,74
Pneumatic Drill,Fluke,1682,235,88,324.7,3.7,47,4,111,3,768.2,20
Digital Torque Wrench,Facom,1136,184,144,181.7,1.3,60,1,79,5,263.6,9
Digital Torque Wrench,Makita,80,178,182,437.6,2.4,61,0,99,5,8.0,-6
Borescope,Facom,963,148,33,48.2,1.5,25,1,84,2,246.3,22
Borescope,Snap-on,748,102,129,834.3,6.5,98,1,35,2,224.8,43
Multimeter,Fluke,568,77,26,264.3,10.2,20,0,12,2,56.8,115
Pneumatic Drill,Makita,603,213,472,968.7,2.1,239,0,107,3,60.3,20
Multimeter,Fluke,306,346,80,94.8,1.2,54,0,69,2,30.6,-5
Hydraulic Pump,Makita,125,251,73,576.8,7.9,31,0,60,2,12.5,14
Digital Torque Wrench,Bosch,765,286,78,129.6,1.7,55,1,58,5,226.5,6
Digital Torque Wrench,Snap-on,1070,123,135,124.8,0.9,87,0,54,5,107.0,25
Pneumatic Drill,Fluke,1480,115,96,487.6,5.1,29,1,113,3,298.0,28
Multimeter,Facom,361,6,137,1163.3,8.5,71,1,95,2,186.1,136
Hydraulic Pump,Bosch,647,218,59,63.3,1.1,29,0,94,2,64.7,0
Borescope,Fluke,1350,309,112,205.3,1.8,35,1,74,2,285.0,1
Pneumatic Drill,Makita,274,238,128,271.3,2.1,32,1,48,3,177.4,9
Multimeter,Facom,571,181,106,135.5,1.3,78,0,16,2,57.1,12
Pneumatic Drill,Bosch,197,2,461,2430.6,5.3,325,1,102,3,169.7,125
Digital Torque Wrench,Facom,1599,329,34,53.4,1.6,7,2,86,5,459.9,4
Pneumatic Drill,Makita,1172,280,207,1167.2,5.6,144,2,119,3,417.2,4
Borescope,Makita,594,51,57,519.8,9.1,30,1,6,2,209.4,86
Digital Torque Wrench,Facom,291,244,187,443.3,2.4,109,1,82,5,179.1,20
Borescope,Bosch,1191,261,113,841.2,7.4,67,1,75,2,269.1,18
Pneumatic Drill,Snap-on,1131,75,298,1842.4,6.2,104,1,118,3,263.1,26
Borescope,Makita,1734,181,87,783.1,9.0,25,1,45,2,323.4,1
Borescope,Snap-on,91,351,149,256.1,1.7,96,0,80,2,9.1,22
Pneumatic Drill,Facom,347,298,249,1979.1,7.9,134,0,79,3,34.7,22
Hydraulic Pump,Bosch,541,145,129,1547.8,12.0,94,0,2,2,54.1,10
Borescope,Snap-on,174,359,118,1102.7,9.3,39,0,3,2,17.4,16
Multimeter,Fluke,718,138,17,92.8,5.5,4,0,6,2,71.8,34
Hydraulic Pump,Makita,590,135,100,726.5,7.3,58,0,64,2,59.0,19
Multimeter,Makita,937,363,46,489.3,10.6,13,0,85,2,93.7,-8
Hydraulic Pump,Facom,1752,33,46,342.3,7.4,25,0,59,2,175.2,138
Borescope,Facom,237,30,92,365.3,4.0,58,0,78,2,23.7,163
Borescope,Facom,348,208,80,310.7,3.9,35,1,0,2,184.8,7
Hydraulic Pump,Makita,107,351,147,575.7,3.9,46,0,17,2,10.7,19
Hydraulic Pump,Fluke,443,75,78,650.6,8.3,44,1,1,2,194.3,79
Multimeter,Facom,691,310,144,461.2,3.2,60,1,48,2,219.1,16
Hydraulic Pump,Facom,940,104,25,56.1,2.2,6,3,30,2,544.0,27
Multimeter,Fluke,252,310,90,633.1,7.0,34,0,83,2,25.2,11
Hydraulic Pump,Bosch,1074,172,144,1187.0,8.2,69,2,45,2,407.4,21
Pneumatic Drill,Snap-on,1482,327,124,330.5,2.7,75,1,36,3,298.2,-1
Borescope,Snap-on,1401,69,131,1158.7,8.8,60,1,64,2,290.1,64
Hydraulic Pump,Bosch,314,25,130,376.2,2.9,89,0,56,2,31.4,148
Digital Torque Wrench,Fluke,1724,247,48,139.6,2.9,19,0,55,5,172.4,12
Hydraulic Pump,Makita,50,272,54,366.4,6.8,19,0,93,2,5.0,12
Pneumatic Drill,Makita,1413,313,194,1245.3,6.4,101,0,99,3,141.3,10
Hydraulic Pump,Snap-on,288,305,71,644.0,9.1,34,0,81,2,28.8,15
Hydraulic Pump,Snap-on,705,272,101,885.5,8.8,77,0,89,2,70.5,10
Borescope,Makita,1417,284,69,200.6,2.9,16,4,85,2,741.7,-2
Digital Torque Wrench,Makita,1465,144,57,139.2,2.4,30,0,28,5,146.5,1
Borescope,Snap-on,1779,252,147,548.4,3.7,35,1,19,2,327.9,4
Multimeter,Bosch,1137,128,137,1631.2,11.9,92,1,80,2,263.7,22
Digital Torque Wrench,Fluke,950,116,143,241.9,1.7,81,1,32,5,245.0,60
Digital Torque Wrench,Bosch,1245,23,132,401.4,3.0,63,0,88,5,124.5,110
Pneumatic Drill,Snap-on,934,114,155,524.9,3.4,105,0,117,3,93.4,3
Multimeter,Facom,817,326,75,314.7,4.2,27,0,86,2,81.7,0
Multimeter,Makita,1423,225,138,571.6,4.1,82,1,46,2,292.3,22
Digital Torque Wrench,Snap-on,1624,42,80,306.2,3.8,23,2,39,5,462.4,125
Digital Torque Wrench,Makita,439,16,104,387.9,3.7,36,0,29,5,43.9,171
Hydraulic Pump,Fluke,1210,21,142,870.4,6.1,70,3,1,2,571.0,77
Hydraulic Pump,Bosch,480,8,68,295.9,4.4,46,0,84,2,48.0,142
Digital Torque Wrench,Snap-on,109,312,165,407.5,2.5,104,0,68,5,10.9,14
Hydraulic Pump,Makita,1736,253,89,874.2,9.8,59,2,36,2,473.6,11
Digital Torque Wrench,Makita,321,207,141,447.4,3.2,80,0,85,5,32.1,22
Multimeter,Makita,1483,365,147,1483.1,10.1,84,1,7,2,298.3,18
Pneumatic Drill,Makita,557,99,87,480.1,5.5,26,1,74,3,205.7,68
Hydraulic Pump,Makita,954,257,100,181.9,1.8,47,0,74,2,95.4,-8
Borescope,Bosch,311,250,49,554.2,11.3,34,0,34,2,31.1,-3
Pneumatic Drill,Facom,874,345,231,1273.7,5.5,157,0,105,3,87.4,11
Digital Torque Wrench,Makita,1527,320,183,103.2,0.6,144,1,34,5,302.7,-1
Pneumatic Drill,Snap-on,285,344,386,1197.2,3.1,119,1,89,3,178.5,-1
Pneumatic Drill,Snap-on,1386,201,385,1470.6,3.8,283,5,42,3,888.6,2
Borescope,Makita,1620,282,148,442.4,3.0,51,1,57,2,312.0,21
Borescope,Facom,315,37,29,336.6,11.6,17,0,96,2,31.5,110
Hydraulic Pump,Fluke,1579,97,12,91.1,7.6,5,0,9,2,157.9,65
Pneumatic Drill,Fluke,814,303,324,679.4,2.1,131,0,107,3,81.4,7
Multimeter,Snap-on,1293,163,136,1045.8,7.7,108,0,88,2,129.3,18
Digital Torque Wrench,Bosch,254,10,177,234.8,1.3,96,0,56,5,25.4,170
Digital Torque Wrench,Snap-on,1216,257,62,134.0,2.2,24,1,34,5,271.6,-3
Hydraulic Pump,Fluke,569,125,131,1569.5,12.0,76,1,84,2,206.9,-1
Borescope,Snap-on,1690,10,113,484.1,4.3,51,1,80,2,319.0,149
Hydraulic Pump,Facom,1429,260,41,333.5,8.1,16,1,60,2,292.9,2
Hydraulic Pump,Snap-on,1003,18,43,134.4,3.1,18,0,80,2,100.3,130
Pneumatic Drill,Snap-on,796,303,64,156.1,2.4,32,1,22,3,229.6,18
Pneumatic Drill,Bosch,786,96,288,1860.2,6.5,79,1,86,3,228.6,37
Borescope,Fluke,843,222,47,377.6,8.0,33,1,14,2,234.3,-7
Pneumatic Drill,Makita,956,1,80,469.8,5.9,34,3,33,3,545.6,130
Borescope,Makita,502,186,98,1019.9,10.4,22,0,24,2,50.2,7
Digital Torque Wrench,Snap-on,1187,82,21,67.2,3.2,10,0,73,5,118.7,72
Pneumatic Drill,Facom,169,206,184,898.8,4.9,106,0,28,3,16.9,21
Multimeter,Facom,1342,142,82,662.6,8.1,23,1,7,2,284.2,20
Hydraulic Pump,Fluke,810,73,110,794.2,7.2,37,0,69,2,81.0,82
Borescope,Makita,1417,272,120,475.9,4.0,47,4,19,2,741.7,4
Multimeter,Facom,702,226,104,709.4,6.8,28,0,88,2,70.2,20
Borescope,Fluke,552,218,67,432.4,6.5,35,1,34,2,205.2,-4
Multimeter,Makita,268,261,38,258.2,6.8,21,3,27,2,476.8,9
Hydraulic Pump,Facom,296,74,80,147.4,1.8,52,0,34,2,29.6,116
Hydraulic Pump,Makita,292,335,60,316.4,5.3,14,0,51,2,29.2,8
Borescope,Makita,1355,278,86,415.4,4.8,56,1,13,2,285.5,16
Hydraulic Pump,Makita,1765,82,117,829.7,7.1,65,1,1,2,326.5,48
Digital Torque Wrench,Makita,1209,361,136,479.3,3.5,75,0,24,5,120.9,16
Hydraulic Pump,Makita,972,259,115,499.1,4.3,70,2,77,2,397.2,17
Digital Torque Wrench,Bosch,275,347,126,371.9,3.0,97,1,58,5,177.5,9
Hydraulic Pump,Facom,328,251,109,269.6,2.5,28,0,83,2,32.8,-7
Pneumatic Drill,Makita,493,131,78,304.1,3.9,54,0,49,3,49.3,60
Hydraulic Pump,Makita,1070,249,102,723.0,7.1,77,2,84,2,407.0,-5
Borescope,Facom,1411,86,119,340.1,2.9,80,2,40,2,441.1,65
Multimeter,Snap-on,366,54,18,27.4,1.5,11,0,56,2,36.6,126
Hydraulic Pump,Snap-on,363,144,77,536.0,7.0,46,1,0,2,186.3,-7
Digital Torque Wrench,Makita,758,62,197,278.2,1.4,112,0,22,5,75.8,115
Hydraulic Pump,Makita,1705,81,47,373.0,7.9,22,2,95,2,470.5,66
Multimeter,Facom,259,160,105,477.2,4.5,34,0,25,2,25.9,8
Hydraulic Pump,Makita,1067,318,103,347.8,3.4,62,2,26,2,406.7,1
Borescope,Fluke,999,315,19,157.2,8.3,8,2,81,2,399.9,22
Borescope,Facom,555,357,126,776.4,6.2,75,0,75,2,55.5,8
Borescope,Fluke,1484,160,84,514.6,6.1,52,1,19,2,298.4,11
Pneumatic Drill,Facom,651,38,386,1556.4,4.0,206,2,20,3,365.1,125
Digital Torque Wrench,Makita,448,334,194,433.5,2.2,149,0,79,5,44.8,10
Multimeter,Fluke,1620,95,75,413.8,5.5,17,1,59,2,312.0,52
Pneumatic Drill,Fluke,1648,62,371,875.6,2.4,159,0,99,3,164.8,55
Hydraulic Pump,Facom,399,152,71,240.8,3.4,46,0,74,2,39.9,13
Pneumatic Drill,Snap-on,544,135,58,215.0,3.7,28,1,62,3,204.4,53
Pneumatic Drill,Fluke,508,271,214,704.6,3.3,142,1,80,3,200.8,-5
Digital Torque Wrench,Snap-on,1168,54,79,48.9,0.6,41,0,59,5,116.8,112
Pneumatic Drill,Facom,1735,95,147,730.8,5.0,55,1,97,3,323.5,8
Borescope,Snap-on,664,236,135,874.6,6.5,83,1,53,2,216.4,0
Digital Torque Wrench,Facom,1309,60,200,665.4,3.3,101,0,24,5,130.9,79
Borescope,Makita,1419,243,70,532.7,7.6,49,0,31,2,141.9,-3
Multimeter,Makita,1149,111,64,625.6,9.8,47,1,4,2,264.9,28
Digital Torque Wrench,Snap-on,1308,38,172,376.5,2.2,123,0,69,5,130.8,123
Pneumatic Drill,Snap-on,1047,229,309,1127.7,3.6,240,2,28,3,404.7,20
Borescope,Makita,93,243,124,850.5,6.9,98,1,71,2,159.3,15
Digital Torque Wrench,Facom,729,13,181,561.4,3.1,85,2,7,5,372.9,126
Pneumatic Drill,Bosch,391,202,352,1155.2,3.3,193,0,34,3,39.1,16
Digital Torque Wrench,Makita,1299,292,143,563.7,3.9,39,1,98,5,279.9,13
Pneumatic Drill,Snap-on,540,232,310,1409.4,4.5,119,0,112,3,54.0,0
Pneumatic Drill,Bosch,561,323,241,623.7,2.6,140,1,66,3,206.1,22
Digital Torque Wrench,Facom,1602,142,89,172.8,1.9,67,1,52,5,310.2,17
Borescope,Facom,1144,62,94,862.5,9.2,71,0,9,2,114.4,70
Digital Torque Wrench,Fluke,1616,182,149,482.7,3.2,42,2,47,5,461.6,4
Digital Torque Wrench,Bosch,1538,200,189,558.4,3.0,101,1,53,5,303.8,3
Hydraulic Pump,Makita,1134,277,102,815.3,8.0,54,0,7,2,113.4,-1
Digital Torque Wrench,Bosch,1663,141,114,224.2,2.0,53,1,100,5,316.3,18
Borescope,Snap-on,1631,51,124,508.2,4.1,60,1,59,2,313.1,67
Digital Torque Wrench,Makita,115,197,92,115.5,1.3,63,0,56,5,11.5,19
Pneumatic Drill,Snap-on,144,121,170,509.7,3.0,45,1,69,3,164.4,32
Borescope,Snap-on,1085,32,140,347.9,2.5,32,1,91,2,258.5,106
Borescope,Fluke,1546,78,26,301.8,11.6,15,0,86,2,154.6,56
Multimeter,Snap-on,1092,155,99,1092.4,11.0,33,1,10,2,259.2,-1
Borescope,Facom,1742,364,119,1174.1,9.9,88,2,36,2,474.2,-1
Digital Torque Wrench,Snap-on,1166,311,135,515.8,3.8,55,3,53,5,566.6,9
Borescope,Facom,242,271,69,285.7,4.1,31,0,62,2,24.2,7
Pneumatic Drill,Fluke,420,203,121,963.8,8.0,59,1,46,3,192.0,17
Digital Torque Wrench,Makita,326,74,134,306.2,2.3,45,1,87,5,182.6,74
Multimeter,Snap-on,375,218,19,106.6,5.6,14,0,16,2,37.5,2
Borescope,Fluke,1700,318,108,420.7,3.9,70,1,96,2,320.0,12
Borescope,Snap-on,609,161,56,480.2,8.6,17,1,60,2,210.9,10
Pneumatic Drill,Bosch,848,54,197,1079.7,5.5,151,0,117,3,84.8,91
Hydraulic Pump,Bosch,709,222,147,1464.8,10.0,73,1,74,2,220.9,6
Borescope,Makita,730,176,100,1048.5,10.5,52,0,61,2,73.0,7
Digital Torque Wrench,Facom,1162,122,152,430.3,2.8,40,1,37,5,266.2,49
Borescope,Fluke,744,25,87,885.1,10.2,55,0,44,2,74.4,130
Hydraulic Pump,Snap-on,416,209,72,698.2,9.7,53,0,1,2,41.6,5
Multimeter,Bosch,1712,177,117,719.9,6.2,68,1,96,2,321.2,-6
Digital Torque Wrench,Bosch,1785,297,133,332.6,2.5,37,1,39,5,328.5,-1
Multimeter,Facom,802,109,141,733.2,5.2,87,0,80,2,80.2,31
Borescope,Bosch,348,155,83,641.4,7.7,21,1,47,2,184.8,-2
Hydraulic Pump,Bosch,988,251,75,725.5,9.7,39,1,75,2,248.8,16
Digital Torque Wrench,Facom,310,167,181,510.5,2.8,115,0,0,5,31.0,4
Borescope,Facom,1648,270,83,658.9,7.9,18,0,3,2,164.8,-1
Digital Torque Wrench,Bosch,200,364,81,216.8,2.7,51,1,93,5,170.0,-3
Digital Torque Wrench,Snap-on,673,361,43,96.6,2.2,16,0,61,5,67.3,18
Pneumatic Drill,Facom,1049,209,354,2727.4,7.7,216,2,20,3,404.9,22
Digital Torque Wrench,Facom,1382,191,164,619.0,3.8,32,2,34,5,438.2,18
Digital Torque Wrench,Bosch,1383,163,36,140.5,3.9,24,0,52,5,138.3,-8
Pneumatic Drill,Facom,386,59,471,2146.8,4.6,160,2,40,3,338.6,106
Multimeter,Makita,290,73,18,75.6,4.2,11,0,1,2,29.0,101
Hydraulic Pump,Fluke,76,287,111,939.8,8.5,66,0,36,2,7.6,13
Hydraulic Pump,Snap-on,1327,31,12,59.3,4.9,6,1,83,2,282.7,109
Pneumatic Drill,Fluke,1009,355,191,1292.3,6.8,139,0,47,3,100.9,8
Borescope,Makita,930,61,87,845.6,9.7,52,0,13,2,93.0,96
Multimeter,Snap-on,794,190,134,1542.5,11.5,105,0,28,2,79.4,14
Borescope,Snap-on,1774,52,130,191.0,1.5,35,0,16,2,177.4,113
Digital Torque Wrench,Fluke,847,251,37,106.6,2.9,19,0,60,5,84.7,13
